,ES1 Index,NQ1 Index,Z 1 Index,VG1 Index,XU1 Index,NK1 Index,CL1 Comdty,CO1 Comdty,NG1 Comdty,XB1 Comdty,HO1 Comdty,HG1 Comdty,LA1 Comdty,LX1 Comdty,C 1 Comdty,S 1 Comdty,BO1 Comdty,LC1 Comdty,W 1 Comdty,GC1 Comdty,PL1 Comdty,FV1 Comdty,TY1 Comdty,RX1 Comdty,JB1 Comdty,PnL,Pct_PnL,CumPnL
10/9/2017,381562.5,363870,340884.1881,735945.4855,183037.5,459466.201,-148740,-111580,-113320,0,0,0,-269125,-246075,0,0,0,0,0,-256360,-274320,0,0,0,0,41425.98,0.00041426,0.697250611
10/10/2017,-127425,-121305,340740.7407,-273475.6098,-121750,-185237.8835,-152760,-169830,144550,0,0,0,-267593.75,-83425,0,0,0,0,0,-258120,-326585,0,0,0,0,2789.33,2.79E-05,0.69727006
10/11/2017,-127650,-121650,-340066.5507,-273134.3284,-134502.5,-185511.1111,-153900,-170820,-28890,0,0,0,-316087.5,-82050,0,0,0,0,0,-257160,-325640,0,0,0,0,-7290.92,-7.29E-05,0.697219223
10/12/2017,-127475,-121495,397081.8881,-273727.8107,-135245,-186587.1037,-50600,-56250,-29890,0,0,0,-265343.75,-83300,0,0,0,0,0,-258660,-281730,0,0,0,0,-5741.11,-5.74E-05,0.697179194
10/13/2017,-127637.5,-121995,396183.6658,-274111.6751,-135327.5,-189232.6954,-51450,-171510,-30000,0,0,0,-263781.25,-82275,0,0,0,0,0,-260300,-283560,0,0,0,0,-973.25,-9.73E-06,0.697172409
10/16/2017,-127812.5,122405,-339732.8504,274516.7854,-148230,189589.0899,-155610,-115640,-117840,0,0,0,-263750,-242100,0,0,0,0,0,-259980,-93940,0,0,0,0,13109.44,0.000131094,0.697263804
10/17/2017,511400,367425,1137149.356,-275828.6588,-444690,-190285.205,51880,57880,29620,0,0,0,-265468.75,77368.75,0,0,0,0,0,-128300,-279630,0,0,0,0,3348.65,3.35E-05,0.697287153
10/18/2017,512000,367155,1137447.936,-275642.6572,149730,189038.4275,-52040,-58150,-28540,0,0,0,-263312.5,236175,0,0,0,0,0,-127990,-276570,0,0,0,0,-7727.56,-7.73E-05,0.69723327
10/19/2017,-128025,-121955,-398381.336,272840.027,161102.5,190776.6128,-51290,-114460,-114920,0,0,0,-267875,-78550,0,0,0,0,0,128690,-276960,0,0,0,0,-1956.99,-1.96E-05,0.697219625
10/20/2017,386100,366660,1192096.285,274796.334,161330,377906.9767,-51470,-57750,-58300,0,0,0,-106262.5,234525,0,0,0,0,0,-127740,-277230,0,0,0,0,2725.58,2.73E-05,0.697238629
10/23/2017,128175,121295,397495.8327,275997.9573,161070,191660.0547,-155700,-114740,-149550,0,0,0,-265718.75,-237000,0,0,0,0,0,-255540,-277350,0,0,0,0,-5737.61,-5.74E-05,0.697198624
10/24/2017,128362.5,121590,399725.9022,275945.923,-161947.5,191483.7577,-157410,-116660,-59480,0,0,0,-268062.5,80387.5,0,0,0,0,0,-255000,-276840,0,0,0,0,-11056.68,-0.000110567,0.697121537
10/25/2017,127925,121290,1173827.477,272750.3598,175665,191313.5221,-156540,-116880,-145950,0,0,0,-272093.75,81025,0,0,0,0,0,-255080,-92400,0,0,0,0,13659.36,0.000136594,0.697216759
10/26/2017,128075,121695,396618.798,280636.8552,176820,190998.4208,-157920,-118600,-57800,0,0,0,-272562.5,244800,0,0,0,0,0,-253260,-275460,0,0,0,0,8863.24,8.86E-05,0.697278555
10/27/2017,128925,124305,398815.5088,-282839.4211,-166692.5,-193982.5812,-53900,-60440,55040,0,0,0,-107812.5,241125,0,0,0,0,0,-126850,-273180,0,0,0,0,366.59,3.67E-06,0.697281111
10/30/2017,513650,373455,-394968.9582,783838.2971,179550,389114.6846,-162450,-121800,-118640,0,0,0,-268656.25,-244050,0,0,0,0,0,-255540,-276810,0,0,0,0,5552.41,5.55E-05,0.697319827
10/31/2017,385912.5,374985,1124369.495,757959.8145,525825,386307.6382,-108760,-122740,-144800,0,0,0,-268281.25,248175,0,0,0,0,0,-127050,-275880,0,0,0,0,4122.78,4.12E-05,0.697348576
